ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Bd.dpi.1
ref1,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,14.13738155,0.028829472
ref2,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,2.255297422,0.001746567
ref3,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,3.150012016,NA
ref4,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,3.448390484,0.030532252
ref5,Bb,1,Single,Bd,bd,NA,19/05/2018,MORT,0,,NA,NA
ref6,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,0,,NA,0.042015247
ref7,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,0.042630382,NA
ref8,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,0,,NA,NA
ref9,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,6.670415878,0.004173189
ref10,Bb,1,Single,Bd,bd,NA,27/05/2018,EU,1,,0.087508842,0.032773145
ref11,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref12,Bb,2,Single,Bd,bd,NA,16/06/2018,EU,,,,
ref13,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref14,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref15,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref16,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref17,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref18,Bb,2,Single,Bd,bd,NA,14/06/2018,EU,,,,
ref19,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref20,Bb,2,Single,Bd,bd,NA,24/06/2018,EU,,,,
ref21,Rt,3,Single,Bd,bd,NA,08/04/2018,EU,,,,
ref22,Rt,3,Single,Bd,bd,NA,10/07/2018,EU,,,,
ref23,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref24,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref25,Rt,3,Single,Bd,bd,NA,30/06/2018,EU,,,,
ref26,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref27,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref28,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref29,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref30,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref31,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,
ref32,Rt,3,Single,Bd,bd,NA,01/07/2018,EU,,,,